Skill Name,Effect,,,Shared Effect,,Relic
Invent,Single - Any,-,"Level 1: Bonus Action. Target ally gains a random single use [Gadget] skill.
Level 2: Granted skill has 2 uses
Level 3: Granted skill has 3 uses",-,-,-
KillBot,Passive,-,"Level 1: Automatically summon KillBot in battle.
Level 2: KillBot gains Eye Laser skill
Level 3: KillBot gains copies of your equipped relics",-,-,-
Haywire Protocol,Passive,-,"Level 1: KillBot Power is increased by 100% if Otto is Downed.
Level 2: Speed increased by 50%
Level 3: KillBot gains a free turn immediately",-,-,-
Device Refits,Passive,-,"Level 1: [Gadget] skills granted by Relics gain +1 use.
Level 2: 50% chance for [Gadget] skills to not consume a use
Level 3: Decreases turn delay of [Gadget] skills by 35%",-,-,-
Tinker,Single - Any,51,"Level 1: Target ally deals 25% increased damage or healing with [Gadget] skills for 3 turns.
Level 2: Restores one use for all of target's [Gadget] skills
Level 3: Also hits adjacent targets",-,-,-
Freeze Ray,Single - Any,-,"Level 1: Deals 90-120 [Ice] damage to target enemy. 1 use.
Level 2: Non-boss target becomes frozen and cannot act or dodge for 2 turns
Level 3: Target takes 30-40 piercing [Ice] damage when hit",-,-,-
Enfeebling Ray,Single - Any,-,"Level 1: Decreases target enemy's Power by 50% for 2 turns. 2 uses.
Level 2: Decreases target Toughness by 50%
Level 3: Decreases target Speed by 35%",-,-,-
Spring Boots,Self,-,"Level 1: Become untargetable and deal 300-400 [Physical] damage to a random target next turn. One use.
Level 2: 2 uses
Level 3: 3 uses",-,-,Otto's Boots
Musket,Single - Any,-,"Level 1: Deals 2x Power [Physical] damage. Cannot miss. Long turn delay.
Level 2: 25% increased damage
Level 3: Always critical hit",Aimed Shot,-,Musketeer's Musket
Gavel,Single - Melee,-,"Level 1: Deals 200-300 [Stun] damage to an enemy.
Level 2: Damage increased by 100
Level 3: Deals 50 additional damage for each [Debuff] on the target",-,-,-
Subpoena,Single - Any,-,"Level 1: Force a non-Boss enemy to attack an adjacent teammate next turn with a basic attack, if possible.
Level 2: Attack deals 50% increased damage
Level 3: Effect has 25% chance to persist",Charm,-,-
Erudite,Passive,-,"Level 1: Increases Wisdom by up to +100 based on current HP pct.
Level 2: Increases Discipline by up to +100 
Level 3: Increases Focus by up to +50 ",-,-,-
Air of Authority,Passive,-,"Level 1: Cannot be directly targeted for the first 3 turns of battle.
Level 2: All enemy attributes decreased by 10% for 3 turns
Level 3: All ally attributes increased by 10% for 3 turns",-,-,-
Judgement,Single - Any,201,"Level 1: Deals 2.0x Focus [Dark] damage to target critical HP enemy. Cannot miss.
Level 2: Instantly removes target if it is downed by Judgement
Level 3: Deals 25% increased damage for each [Debuff] on target",-,-,Rupert's Gavel
All Rise,Self  - Allies,398,"Level 1: Fully heal all allies. One use.
Level 2: Dispel all [Debuff]
Level 3: Revives all downed allies",-,-,-
Injunction,Single - Any,216,"Level 1: Target's next turn is interrupted. Once per enemy.
Level 2: Resets target's current turn progress if not resisted
Level 3: Deals 0.35x Focus [MP] damage if not resisted",-,-,-
Restraining Order,Single - Any,216,"Level 1: Target enemy cannot directly target Rupert for 2 turns.
Level 2: Decreases target's speed by 35%
Level 3: 50% of direct damage dealt by this enemy is redirected back to them",-,-,-
Ion Blast,Single - Any,-,"Level 1: Deals 0.75x Power [Energy] damage to target enemy. Hits adjacent targets if Nuclear Battery charge is at least 25%.
Level 2: Hits all enemies if Nuclear Battery charge is at least 50%
Level 3: Also deals 2x Power [Stun] damage if if Nuclear Battery charge is at least 50%",-,-,-
Kinetic Barrier,Single - Any,-,"Level 1: Bonus Action. Blocks up to 200 damage on target ally until after their next turn. 
Level 2: Also shields self
Level 3: Damage exceeding barrier's remaining block is nullified",-,-,Kinetic Shield Gen
Nuclear Battery,Passive,-,"Level 1: Gains 1% of charge for every 10 damage blocked by Kinetic Barrier.
Level 2: Increases damage dealt by [Attack] hits by up to 100%, based on charge
Level 3: Gain 10% charge passively before turn",-,-,-
Meltdown,Passive,-,"Level 1: Die immediately if downed, but deal 2x-3x Power [Energy] damage to all enemies based on Nuclear Battery. Not as a summon.
Level 2: Damage increased to 3x-6x Power
Level 3: Damage increased to 4x-8x Power",-,-,-
Power Armor,Passive,12,"Level 1: Use MP to nullify incoming damage under 15% of current HP.
Level 2: Decreases damage from highest damage type take by 30%
Level 3: The first fatal damage received after every turn is nullified",-,-,-
Powered Servos,Passive,-,"Level 1: Agility is increased by up to +100, based on Nuclear Battery charge.
Level 2: Speed increases by up to +100
Level 3: Critical hit chance increased  by up to +200%",-,-,-
Hyper Beam,All - Party,-,"Level 1: Drains all Nuclear Battery charge and deals 2x Power [Energy] damage to all enemies. 3 turn charge. Cannot miss.
Level 2: Only lose half of current Nuclear Battery charge
Level 3: Gains 100% piercing",-,-,-
Light Beam,Single - Any,-,"Level 1: Deals 1x Focus [Energy] damage to target.
Level 2: Decreases target Technique by 15% for 3 turns
Level 3: Damage increased by 25%",-,-,-
Blind,Single - Any,-,"Level 1: Target enemy's next direct hit damage always misses.
Level 2: Next 2 hits
Level 3: Next 3 hits",-,-,Radiant Mote
Energy Body,Passive,-,"Level 1: Immune to [Energy] damage and effects from [Energy] skills.
Level 2: Take 50% decreased damage from [Fire] [Lightning] and [Ice]
Level 3: When hit by a [Melee] attack, return 1x FCS [Energy] damage back to attacker",-,-,-
Luminous,Passive,-,"Level 1: Dodge chance increased by 50%.
Level 2: Increases hit chance and critical hit chance by 35%
Level 3: Adjacent allies' dodge chance increased by 25%",-,-,-
Flickering,Passive,-,"Level 1: Sacrifices 10% of current HP at start of turn.
Level 2: Passive MP regen rate tripled
Level 3: Gain +10 Focus whenever Luna sacrifices HP. Stacks up to 10 times.",-,-,-
Brilliance,Passive,-,"Level 1: Increases Speed by up to 100% based on current HP pct.
Level 2: Increases Agility by up to 100%
Level 3: Stamina does not affect Focus",-,-,-
Energy Wave,Row - Party,60,"Level 1: Sacrifice 20% of current HP. Deals 1.3x Focus [Energy] damage to enemies in the front row.
Level 2: Decreases target Technique by 25% for 2 turns
Level 3: Hits all enemies",-,-,-
Energize,Self - Allies,41,"Level 1: Sacrifice 20% of current HP. Restore 0.5x Focus MP to all allies. Increased turn delay.
Level 2: Allies gain 15% tuirn progress
Level 3: Allies' next skill deals 25% increased damage or healing",-,-,-
Mini Laser,Single - Any,-,"Level 1: Deals 80-100 piercing [Energy] damage to target.
Level 2: Turn delay decreased by 35%
Level 3: Gain 10% Turn Progress when used as a counter attack",-,-,-
Rogue AI,Passive,-,"Level 1: Automatically acts in battle. Prevents Bleedout.
Level 2: Deal 50% increased damage against critical HP enemies
Level 3: 25% increased attributes against Extreme Danger and Bosses",-,-,-
Short Circuit,Passive,-,"Level 1: Gain 10% Turn Progress when directly hit by an enemy.
Level 2: 20% Turn Progress if damage taken is [Lightning] or [Energy]
Level 3: Gain 10% Turn Progress when directly healed by an ally",-,-,-
Defense Protocols,Passive,-,"Level 1: Use MP to counter with Mini Laser when Warden's party is targeted by an enemy skill.
Level 2: Counter cannot miss
Level 3: Counter has 25% chance to interrupt non-boss enemy's skill",-,-,-
Threat Scanner,Passive,-,"Level 1: Can view enemy HP, MP, and Attributes in the status menu.
Level 2: Increase critical hit chance by 50%
Level 3: Gain a Free Turn if an enemy is summoned mid-battle",-,-,-
Alarm,Self,-,"Level 1: Grants a random ally a Free Turn. Three turn charge, starts charged.
Level 2: Increases all allies' Speed by 100% for 1 turn
Level 3: Gain 33% charge if an enemy is summoned mid-battle",-,-,-
Motion Tracker,Single - Any,42,"Level 1: Bonus Action. Increases target's damage taken by 15%. Limit of one.
Level 2: Target's Agility decreased by 35%
Level 3: Target's damage taken increased by additional 15%",-,-,Tracking Sensor
Pulse Rifle,Single - Any,-,"Level 1: Deals 30-50 [Energy] damage 3 times. Reload after 3 uses.
Level 2: Ignores 50% of target Toughness and Discipline
Level 3: Increased to 4 hits",-,-,-
Personal Shield,Self,-,"Level 1: Bonus Action. 70% of damage taken is converted to [MP] damage. Toggleable.
Level 2: Doubles MP regeneration per turn
Level 3: 50% of [Healing] received is converted to MP healing until MP is full",-,-,-
Xeno Hunter,Passive,-,"Level 1: Deals 25% increased damage to non-human enemies.
Level 2: Deal 50% increased damage to Anomaly enemies
Level 3: Take 20% decreased damage from non-human enemies",-,-,-
Fire Team,Passive,-,"Level 1: Automatically fire Pulse Rifle at the same target when an ally in the same row as Carmen uses a [Ranged] attack.
Level 2: Pulse Rifle deals 15% increased damage
Level 3: Ally's attack is always a critical hit",-,-,-
Duratanium Armor,Passive,-,"Level 1: 50% Chance to negate [Energy] damage taken.
Level 2: Reduces [Fire] [Ice] and [Lightning] damage taken by 20%
Level 3: Cannot be critically hit by [Physical] damage",-,-,-
Drone Launcher,Self,-,"Level 1: Access deployable drones.
Level 2: All deployable drones gain +50% to all attributes
Level 3: First drone laucnhed is deployable",-,-,-
Medical Drone,Self,?,"Level 1: Summons an automated drone that heals and revives allies. Lasts 5 turns.
Level 2: N/A
Level 3: N/A",-,-,-
Utility Drone,Self,?,"Level 1: Summons a drone that supports allies in various ways. Lasts 5 turns.
Level 2: N/A
Level 3: N/A",-,-,-
Volatile Drone,Self,?,"Level 1: Summons a drone that attacks enemies and eventually explodes.
Level 2: N/A
Level 3: N/A",-,-,-
Pulse Grenade,Cross - Any,-,"Level 1: Deals 150-200 [Energy] and [Stun] damage to target enemies. One use.
Level 2: Two uses
Level 3: Three uses",-,-,Nanocarbon Screws
Cryo Grenade,Cross - Any,-,"Level 1: Deals 150-220 [Ice] damage to target enemies. One use.
Level 2: Lowers target speed and agility by 75% for 2 turns
Level 3: 2 uses",-,-,-
Burning Skin,Passive,-,"Level 1: When hit by a [Melee] attack, return 1x Focus [Fire] damage to attacker.
Level 2: N/A
Level 3: N/A",-,-,Burning Ember
isolate.exe,Single - Any,-,"Level 1: Target non-boss cannot act or be shifted for 3 turns, and takes 1x Focus [Lightning] damage every turn. 1 use.
Level 2: N/A
Level 3: N/A",-,-,CENCOM Manual
Core Surge,Passive,-,"Level 1: Grants Free Turn, Doubles POW and SPD, but decreases TGH by 50% and deals 10% max HP self [Lightning] damage. Activates at 50% HP.
Level 2: N/A
Level 3: N/A",-,-,Devastator Core
Telekinesis,Single - Any,,"Level 1: Deals 1.33x Focus [Physical] damage and shifts target randomly. Also deals 66% damage to enemy the target is shifted into.
Level 2: N/A
Level 3: N/A",-,-,Eldritch Hourglass
Cold Crush,Cross - Melee,80,"Level 1: Deals 1.0x Power [Physical] and 0.5x Power [Ice] damage.
Level 2: N/A
Level 3: N/A",-,-,Frozen Fist
Gamma Wave,All - Party,27,"Level 1: Decreases all enemy Speed and Toughness by 15%, and deals 0.5x Focus [Poison] damage over time for 6 turns. Cannot miss.
Level 2: N/A
Level 3: N/A",-,-,Gamma Shard
Barricade,Self,-,"Level 1: Randomly taunt 3 enemies and nullify up to 8 hits until next turn, reflecting [Physical] damage back to melee attackers. 2 turn charge.
Level 2: N/A
Level 3: N/A",-,-,Shield Fragment
Spinning Blade,Adjacent - Any,60,"Level 1: Deals 1.5x Power [Physical] damage to enemies adjacent to target.
Level 2: N/A
Level 3: N/A",-,-,Shredder Saw
Boast,Self,79,"Level 1: Bonus Action. Increases Focus by 15% and taunt 3 random targets.
Level 2: N/A
Level 3: N/A",-,-,Sinner's Mask
Claim,All - Party,73,"Level 1: Deals 1.0x Focus [Dark] damage to all enemies and allies, and recovers HP/MP based on damage dealt.
Level 2: N/A
Level 3: N/A",-,-,Sinner's Mask
Show Off,All - Party,71,"Level 1: Deals 1.0x Focus [Holy] damage and decreases target Technique by 25%.
Level 2: N/A
Level 3: N/A",-,-,Sinner's Mask
Carapace,Passive,-,"Level 1: Blocks up to 2x Toughness damage. Incoming damage decreased by 50% while active.
Level 2: N/A
Level 3: N/A",-,-,Terror Hide
Venom Spray,All - Party,90,"Level 1: Deals 0.4x Focus [Poison] damage to targets, and 0.2x Focus [Poison] damage over time for 3 turns. Increases target's [Poison] damage taken by 25%.
Level 2: N/A
Level 3: N/A",-,-,Venom Spray
Meteor Strike,All - Party,184,"Level 1: Deals 1.5x Focus [Physical] and 1.25x Focus [Fire] damage to all enemies. Long turn delay.
Level 2: N/A
Level 3: N/A",-,-,-
